run,method,split,n_correct,n_wrong,n_total,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,n_below_0.5,P_correct_above_0.5,P_correct_below_0.5,lift_at_0.5,n_above_0.6,n_below_0.6,P_correct_above_0.6,P_correct_below_0.6,lift_at_0.6,n_above_0.7,n_below_0.7,P_correct_above_0.7,P_correct_below_0.7,lift_at_0.7,n_above_0.8,n_below_0.8,P_correct_above_0.8,P_correct_below_0.8,lift_at_0.8,n_above_0.9,n_below_0.9,P_correct_above_0.9,P_correct_below_0.9,lift_at_0.9
r16_standard_seed0_det,standard_ft,indist,52,1948,2000,0.026,0.729139961875402,0.6454073377948033,0.7229749858379364,0.6258018910884857,1550,450,0.029677418991923332,0.013333333656191826,0.016344085335731506,1125,875,0.035555556416511536,0.01371428556740284,0.021841270849108696,758,1242,0.03562005236744881,0.020128823816776276,0.015491228550672531,424,1576,0.05424528196454048,0.018401015549898148,0.035844266414642334,179,1821,0.0670391097664833,0.021965952590107918,0.04507315717637539
r16_standard_seed0_det,standard_ft,ood,108,3424,3532,0.030577576443941108,0.7170619997713301,0.6320156799107094,0.725007563829422,0.6062014102935791,2645,887,0.03402646631002426,0.02029312215745449,0.01373334415256977,1832,1700,0.03984716162085533,0.020588235929608345,0.019258925691246986,1224,2308,0.04820261523127556,0.021230502054095268,0.02697211317718029,700,2832,0.06285714358091354,0.02259887009859085,0.04025827348232269,295,3237,0.08135592937469482,0.025949953123927116,0.05540597625076771
r16_standard_seed1_held,standard_ft,indist,68,1932,2000,0.034,0.7182248918449178,0.6450980742217097,0.7224557399749756,0.6256847381591797,1550,450,0.037419356405735016,0.02222222276031971,0.015197133645415306,1125,875,0.04444444552063942,0.020571429282426834,0.023873016238212585,758,1242,0.05013192445039749,0.02415458858013153,0.02597733587026596,424,1576,0.05896226316690445,0.02728426456451416,0.03167799860239029,179,1821,0.08379888534545898,0.029104886576533318,0.05469399876892567
r16_standard_seed1_held,standard_ft,ood,119,3413,3532,0.03369195922989807,0.7052014347384957,0.6321551166878674,0.6950362324714661,0.6058841347694397,2645,887,0.03780718520283699,0.021420517936348915,0.016386667266488075,1832,1700,0.043668121099472046,0.02294117584824562,0.020726945251226425,1224,2308,0.047385621815919876,0.026429809629917145,0.02095581218600273,700,2832,0.06285714358091354,0.026483051478862762,0.03637409210205078,295,3237,0.08813559263944626,0.028730304911732674,0.059405287727713585
r32_retrieval,retrieval_practice,indist,63,1937,2000,0.0315,0.7400536352679843,0.6445768678471423,0.7848323583602905,0.6256800293922424,1550,450,0.034838709980249405,0.019999999552965164,0.01483871042728424,1125,875,0.041777778416872025,0.018285714089870453,0.02349206432700157,758,1242,0.04881266504526138,0.020933978259563446,0.027878686785697937,424,1576,0.06603773683309555,0.02220812253654003,0.04382961429655552,179,1821,0.08379888534545898,0.02635914273560047,0.05743974260985851
r32_retrieval,retrieval_practice,ood,126,3406,3532,0.03567383918459796,0.7386884625468936,0.6307661884053622,0.775729238986969,0.6054827868938446,2645,887,0.04158790037035942,0.018038330599665642,0.02354956977069378,1832,1700,0.04912663623690605,0.021176470443606377,0.027950165793299675,1224,2308,0.060457516461610794,0.02253032848238945,0.037927187979221344,700,2832,0.07999999821186066,0.024717513471841812,0.055282484740018845,295,3237,0.10847457498311996,0.029039233922958374,0.07943534106016159
r32_standard,standard_ft,indist,55,1945,2000,0.0275,0.7026275217533111,0.6460278963215247,0.7225083112716675,0.6274615526199341,1550,450,0.02709677442908287,0.028888888657093048,-0.0017921142280101776,1125,875,0.030222222208976746,0.024000000208616257,0.006222222000360489,758,1242,0.036939315497875214,0.021739130839705467,0.015200184658169746,424,1576,0.05424528196454048,0.020304568111896515,0.03394071385264397,179,1821,0.08379888534545898,0.021965952590107918,0.06183293275535107
r32_standard,standard_ft,ood,108,3424,3532,0.030577576443941108,0.753252895893874,0.630874144635816,0.7908750772476196,0.6056128740310669,2645,887,0.035538751631975174,0.015783540904521942,0.019755210727453232,1832,1700,0.043668121099472046,0.016470588743686676,0.02719753235578537,1224,2308,0.0555555559694767,0.017331022769212723,0.03822453320026398,700,2832,0.07428571581840515,0.01977401040494442,0.05451170541346073,295,3237,0.10847457498311996,0.02347853034734726,0.0849960446357727
r8_retrieval_random,retrieval_practice,indist,52,1948,2000,0.026,0.6850287174949279,0.6465848453450007,0.6971001029014587,0.6273076236248016,1550,450,0.025806451216340065,0.02666666731238365,-0.0008602160960435867,1125,875,0.030222222208976746,0.020571429282426834,0.009650792926549911,758,1242,0.0343007929623127,0.020933978259563446,0.013366814702749252,424,1576,0.03773584961891174,0.022842640057206154,0.01489320956170559,179,1821,0.044692736119031906,0.024162547662854195,0.02053018845617771
r8_retrieval_random,retrieval_practice,ood,105,3427,3532,0.029728199320498302,0.6781823683352698,0.6332813642586429,0.6402724385261536,0.607059121131897,2645,887,0.03213610500097275,0.02254791371524334,0.009588191285729408,1832,1700,0.033842794597148895,0.025294117629528046,0.00854867696762085,1224,2308,0.036764707416296005,0.025996534153819084,0.010768173262476921,700,2832,0.044285714626312256,0.026129944249987602,0.018155770376324654,295,3237,0.07118643820285797,0.025949953123927116,0.045236485078930855
